排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,【官方MV】Mojito - 周杰伦,1266.5万,13.3万,12138824,32708543,BV1PK4y1b7dt
2,《Numb》——4K超清  翻唱,547.7万,2.2万,4985667,11299160,BV1mK4y1x7Mb
3,被上帝吻过的嗓子,792.7万,3.1万,4496865,484831835,BV1Wa4y1v7qB
4,满级大佬屠杀新手村,445.1万,1.0万,3738866,247412150,BV1LJ411W7Bo
5,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,169.0万,1.5万,3499379,85318798,BV1SA411v7zD
6,油管千万粉大神Kurt入驻b站！,272.0万,1.2万,2984075,596324576,BV1Ma4y1v7RF
7,热水澡,254.1万,1.9万,2761248,279583114,BV18a4y1v7Da
8,清唱，他不爱我,310.5万,8922,2679200,605205509,BV1Vi4y1x7bk
9,'我  佛  了',235.0万,1.8万,2564121,327971418,BV17i4y147NF
10,燃爆全场！LiSA首唱《鬼灭之刃》最燃神曲《紅蓮華》完整版~【最高音画质收藏】【老织首次现场激情演唱动漫歌曲《紅蓮華》完整版】,189.2万,5834,2525484,322032202,BV1B54y1X7Ls
11,【游戏原声】Mittsies-Vitality「Helltaker」/超洗脑的啊啊啊w,169.6万,2874,2124853,34567934,BV15k4y1r7K3
12,成都街头 含泪演唱《曾经我也想过一了百了》但 那只是曾经。,152.4万,2828,1821133,11139681,BV1Hv411z73N
13,BLACKPINK 新曲《How you like that》MV公开,303.8万,4.9万,1813742,289848213,BV1HT4y1J766
14,【经典】周杰伦全MV 【191P】,171.8万,2.4万,1750260,1352611,BV1fx411N7bU
15,《明日方舟》EP - Reversed time,102.1万,7438,1744537,161775300,BV1pK411s7s4
16,好听到头皮发麻！儿童震撼合唱《See You Again》,78.3万,3225,1682630,32912448,BV1gK411L7Je
17,【收藏级】神级日语现场合集，快来享受这视听盛宴吧！已更新至26P,56.3万,7521,1616084,2645423,BV1k7411k79Q
18,《瘾》原创说唱×国家禁毒日宣传曲,55.4万,1327,1610559,337312411,BV1TK4y1476o
19,【阿宅专用】是阿宅就来听听这个！,78.3万,3304,1560858,339567211,BV11D4y1D7Kx
20,【祖娅纳惜】海底（灵魂没入寂静  无人将你吵醒）,64.1万,2116,1527636,3046429,BV1kz4y1Q7Dy
21,电音大神棉花糖Marshmello来啦！和我一起回顾热血中国行吧~,174.0万,1.2万,1516854,579877490,BV14a4y1v7LA
22,【摇滚合奏】一代人童年的英雄：迪迦奥特曼5首音乐无缝串烧（片尾曲演唱）,52.9万,6380,1492141,15897890,BV1uZ4y1H7wy
23,I LOVE YOU - 筷子兄弟,153.7万,1.7万,1470810,601414032,BV1FZ4y1H79z
24,【黄龄】#乘风破浪的姐姐#浴室版《芒种》来啦！,216.9万,1.8万,1467082,345630501,BV1zf4y1y77u
25,【某幻/中国BOY】电子羊,97.1万,6612,1456949,1577804,BV1Bz411q7p7
26,鼓乐《兰陵王入阵曲》耳机开最大！来听千军万马！！！,63.4万,2206,1434664,20165629,BV1PK411L7h5
27,【钢琴】戴上耳机！《处处吻》钢琴超还原完美演奏版 前方高能！,77.2万,2125,1347506,35654949,BV1hD4y1D7AB
28,BLACKPINK 回归'How You Like That' MV+现场持更中(更至200628人气歌谣),178.1万,2.8万,1331955,86469984,BV1SC4y1a7jo
29,如果把【黑人抬棺】做成中国风音乐,84.5万,7221,1329264,3991980,BV1fC4y1s7vv
30,【海伊原创】好字唯之【忘川风华录】,43.6万,3004,1270798,326258472,BV1tD4y1D7mS
31,日语版《想见你想见你想见你》翻唱【鹿乃】,53.2万,2700,1252277,316381099,BV1kk4y1z7gH
32,神曲天后龚琳娜的《下山》来了！一人hold六声部，国家队神仙演绎,90.7万,3281,1247846,444935584,BV1Ha4y1e71f
33,【Animenz】名侦探柯南 主题曲 钢琴版,58.4万,2567,1199581,6075139,BV16i4y1s7Jw
34,【王者之歌】王者荣耀·100英雄群像献礼歌《百战成诗》,71.8万,4.1万,1192936,57863910,BV1ok4y1r7Cq
35,【40mP】恋愛裁判 Love Trial【初音ミク】,37.9万,2122,1192258,601613427,BV1hg4y1q73Q
36,你从没见过的学霸学渣互撕版Doja Cat《Say So》？史上最强高中生改编版！,58.8万,1244,1182997,23307992,BV1Dt4y197dr
37,芒种 翻唱,60.4万,3251,1182322,11073,BV1e54y1Q7ZS
38,【真童年】一秒落泪？ 洛克王国BGM 串烧 编曲键盘演奏,56.4万,9232,1180782,46032149,BV1y5411s7hS
39,他永远都不知道他这首歌在QQ飞车里有多火,135.4万,5802,1162655,40305856,BV1pt411p7JK
40, 【古筝】千本樱——你可见过如此凶残的练习曲,87.8万,5740,1160707,2374194,BV1Sx411T7QQ
41,《野草》：我把16篇鲁迅写成了一首歌,45.0万,700,1133808,157831228,BV1R7411M769
42,【1080P修复合集】周杰伦2000~2011发行MV 1080P修复版合集,42.0万,8497,1127534,13838234,BV1Ei4y1t7wf
43,还原度99%的守护甜心op《心灵之蛋》翻唱，一开口就有内味了,38.3万,5337,1127231,3727121,BV1Mf4y117Nz
44,【4K 60FPS】迈克尔·杰克逊《Smooth Criminal》MV,47.0万,1725,1124187,33114953,BV1oZ4y1p7GM
45,周杰伦封神的十大神级金曲（地表最强画质）,65.9万,1.0万,1114616,229733301,BV1tJ41167Ai
46,公安小哥哥高能Rap！“刷单”骗子听了都要抖三抖,80.3万,1766,1097759,472807480,BV1R5411W7BK
47,【WNS中字】200605 Still With You by Jung Kook 田柾国,43.6万,6456,1097447,14025362,BV1Ez411i753
48,2019最火热单宇宙大串烧,45.3万,590,1097102,202724145,BV1ht4y127pc
49,【unravel】原唱大佬在家唱unravel！TK from 凛として時雨「Home Live」,37.5万,1643,1086071,548561516,BV1hf4y127un
50,【泠鸢翻唱】夏天的风1988（回见！我去八十年代了！）改编：羊真闲,50.2万,2000,1073617,282994,BV1cf4y117sw
51,【三无】蒸汽金鱼【原创曲】,37.4万,1795,1055998,284120,BV1vV411r7HD
52,我把高考必背历史做成了一首歌！,35.7万,2363,1046279,249608727,BV13A411i7Xi
53,听说日本假唱犯法，所以才逼出这7个神级现场！每首都能血洗全网,108.3万,4877,1034909,386719429,BV1kk4y1r7dW
54,【4K】全网最秀最好听的 DANCE MONKEY - Peter Bence （Piano Cover）,51.9万,840,1033000,314566933,BV1Zz4y1X7pC
55,Everyday I'm...,64.7万,4597,1018733,7980111,BV1mp4y1D7zv
56,燃炸！Henry刘宪华路演一人一乐队版5SOS《Young Blood》Loopstation！Live！,65.0万,1.3万,1011508,3603406,BV1kz4y197fv
57,孙燕姿出道20周年直播 LIVE 官方1080p,45.1万,7730,1007839,33330679,BV1Ek4y1r7nu
58,好帅两女的合唱yellow♪性冷淡高中生X性感酷御姐【瘫君X汄天人】,39.7万,537,1005622,11529561,BV1F54y1X7mg
59,【讽刺】This is America,127.2万,2562,986397,32426113,BV18C4y1p7rV
60,【钢琴】《地下城与勇士》dnf十首经典BGM联弹 女鬼剑的演奏时间,87.2万,5226,967289,320491072,BV1sC4y1a7gx
61,【东京喰種/周深】神仙合唱！B站首个周深&TK合唱《unravel》版本！左右声道《Unravel》自制AMV,42.1万,1857,962594,15243524,BV1HV411C7jC
62,永恒不朽的经典《We are the world》，每次听都是震撼心灵的盛宴,46.7万,1234,943994,519861690,BV1u741117Ps
63,峡谷百战成诗诵 可忆裳曾赠何人？《百战成诗》填词版 X 143款皮肤群像 及 登场时间,30.1万,3989,926935,2854057,BV1Zi4y1s7ni
64,【BLACKPINK】天哪！！！我终于找到这场了，我太爱这张的打歌服 - Don't know what to Do,81.3万,3649,917025,542956543,BV1Mk4y1r7NC
65,IZONE最新回归曲Secret Story of the Swan幻想童话MV+打歌舞台合集(更至200628),138.0万,2.0万,916840,16720403,BV1mK4y1t7pD
66,你听过克苏鲁Rap吗？【SAN值不足者谨慎观看】,43.3万,3354,916205,876613,BV1Gp4y1D7Ax
67,江苏卫视618超级晚 毛不易《易燃易爆炸》+《凤凰于飞》,54.0万,1.1万,915921,576089507,BV1AV411k7s8
68,周杰伦-《最后的乌兹》致-uzi，致永远滴神,94.9万,2567,913730,328285226,BV14K4y1C7pu
69,特朗普连任应援歌《让美国保持伟大》正式MV,119.5万,7586,907302,248940112,BV1AK4y147fq
70,这是一首唯一在任何音乐软件都要收费的歌！,91.8万,1542,902713,8769148,BV1Et411D7LU
71,听说日本假唱犯法，所以才逼出这6个神级现场？每首都能血洗乐坛！,90.2万,4266,899631,353230307,BV1At4y197Wb
72,【登乐V计划】主题曲 Real me 打破定义 你就是你想要的样子！,31.9万,5693,886669,558070432,BV1dC4y1a7ZG
73,【米津玄师/live/LOSER】loser日中字幕现场版-八爷：来，跟我一起摇滚~！,53.1万,2093,885936,105421771,BV18J411i7A9
74,【气突苏】菊次郎在苏联,58.9万,1933,884117,36394400,BV1TZ4y147i8
75,《入海》bilibili X 毛不易 | 跃入人海，各有风雨灿烂,45.3万,6351,881638,8047632,BV1tC4y1H7yz
76,iu顶级现场,53.0万,1056,866114,530739240,BV15z411z73U
77,你知道琵琶也可以弹funk吗？看琵琶小姐姐翻弹指弹吉他曲，颠覆你想象！,48.1万,1182,865962,299189432,BV1JK411p7pd
78,我直接在厕所唱LOSER！！！！！！,62.8万,3695,854180,23957550,BV1hz4y1R7pz
79,1分48开始嘶吼高能！国人无修音翻唱林肯公园《Faint》,57.2万,1586,828192,185546,BV1P5411W7wX
80,你们要的火力全开终极版！大剧院几千万的音响全开听黑人抬棺是什么感受？！,46.0万,2613,824245,11402076,BV1pa4y1v7ZG
81,《一路向北》让过去的伤感飘在夜风中,59.5万,1397,819543,71548950,BV1KZ4y1W7PM
82,魔动闪霸《对手》（超清版）,92.5万,2354,818075,279353389,BV1Dz4y1Q7Ct
83,贵州方仔发次狂暴发声！“把爱奇艺唱破产”,69.6万,2414,809314,298668059,BV1mk4y1z7WK
84,唢呐 生日快。。。嗯？？？,63.2万,3151,803285,42561463,BV1Cg4y1i73r
85,就是他！让网易云评论区全是卧槽的人！,72.9万,1.1万,802678,173664106,BV1Lt411R7Ya
86,「Tough Love 严厉的爱」（后妈茶话会）The Villains Lair 恶棍巢穴(Ep.2)【PattyCake】,37.1万,1314,788042,507915414,BV1B7411T7w2
87,这首毛主席时代的歌，现在没人再这样唱了！,60.0万,1875,777582,424127064,BV15V411k721
