排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,【费玉污】《一剪梅》被删减版本！,224.4万,1.5万,2768467,375375,BV1Mz4y1X7Nj
2,最 强 法 海,196.7万,9720,2353024,96070394,BV1pi4y147tQ
3,【杨超越爆笑rap】干啥啥不行，rap第一名！（全程高能）,269.3万,1.3万,2172867,89338806,BV18T4y1J7dT
4,神仙打架,139.6万,8962,1429413,97395295,BV1Ji4y1G7TV
5,每天一遍，北大相见,62.5万,1728,1192895,7275647,BV1cp4y1Q7yn
6,【特效向】全明星の向死而生篇,47.6万,5403,1138247,22770727,BV16z411e7F4
7,吉良吉影看上了藤原书记的手？——神奇联动系列,46.4万,1713,922709,7518140,BV19t4y1X7jD
8,雪⚡花⚡飘⚡飘,62.3万,3350,793978,7980111,BV1mt4y1977Y
9,【杨超越】吵架第一名,62.5万,3342,767763,548824,BV14V41167dT
10,【杨超越rap】干啥啥不行，吵架第一名,63.7万,2425,740425,37733809,BV1fz4y1Q7Qz
11,【杨超越】Believer,52.3万,1908,680732,19071708,BV17V41167cn
12,【罗翔】亡 匪（王妃）,28.2万,1321,662234,16054375,BV1Ff4y1178U
13,执着的骚猪,34.9万,515,651338,38347595,BV17Z4y1H7NK
14,【张大仙Rap】全程核能！你能大声呼唤一声我八戒吗？？？,44.0万,1720,637065,5374954,BV1Tf4y117iL
15,当茄子拿起AK47,50.6万,169,619061,31953347,BV1VV41167Vc
16,每天一遍，遁入空门,52.8万,585,602168,7637632,BV1pe411W7eY
17,希望鬼畜区没事,36.7万,610,579999,14426615,BV1g54y1z7YH
18,【派大星的独白】一个关于正常人的故事,31.0万,2582,552134,30222764,BV1qt411j7fV
19,大家好，我是沈腾，今天我入驻b站了（狗头）,73.1万,890,545081,281149281,BV175411Y7xA
20,王 雷 炸 鱼,36.9万,550,527955,5938236,BV1pi4y1x7s7
21,大家好，我是奥巴马，从今天开始，我也正式入驻B站了！,56.5万,722,506528,25606673,BV1ZV411r79W
22,up主把摆摊名场面们做成了一个沙雕鬼畜,31.5万,690,502111,26311441,BV16k4y1z7NL
23,【华农兄弟】一剪没,36.0万,1236,488208,25422790,BV1Jg4y1q7YY
24,"雷宝——内置""林北""王雷语音的人工智能",22.9万,1170,481570,54677961,BV14K411n7Yi
25,【王雷】祖 安 卖 鱼,32.1万,268,468951,6249909,BV1Bf4y127bg
26,【特朗普】一想祖国我就 Wu~ 欲语泪先流,30.1万,2217,467395,57676402,BV1zz411i7TW
27,油管上超火的特朗普的鬼畜,38.8万,2955,459413,527090624,BV1ii4y147LP
28,简 简 单 单 の 高 考,30.3万,1080,450966,2047074,BV1pi4y1x7Ke
29,百 家 争 鸣,32.7万,1044,430016,25333161,BV16K411p7z4
30,【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,31.7万,2965,417251,353246678,BV1bW411n7fY
31,【特朗普】loser 一个卧底的独白,20.1万,1386,411760,253184843,BV1oT4y1E7hP
32,【杨超越】斗地主第一名,28.0万,1461,400868,287485905,BV1BA411i75N
33,建议改成：中 美 日 合 拍,22.9万,1601,396014,57260532,BV167411C7yL
34,卢本伟玩极限运动被爆蛋合集！,24.9万,3533,390653,57739849,BV12C4y187L2
35,啵 ♬,32.6万,663,388198,16649592,BV1DK411n77s
36,建议改成：致 命 节 奏,27.2万,408,381735,8544715,BV1Uz4y1977R
37,【杨超越/周淑怡】希望老板没事,29.7万,622,377898,13205124,BV1Cg4y1v7qw
38,【王者荣耀】诸神之战,28.8万,1098,374630,286505491,BV1Dg4y1q7yu
39,雷霆嘎巴(情人节限定),36.0万,89,363579,105537627,BV1Wg4y1q7nE
40,【LexBurner/老番茄】下 巴 分 你 一 半,22.2万,818,362160,38758281,BV1HA411i7H2
41,最 强 茄 海,26.0万,304,361350,105006863,BV1AK411W7Z5
42,【派大星】loser-粉色的失败者,16.0万,923,359164,13692977,BV1jg4y1q7uF
43,大家好我是周淑怡，今天正式入驻B站啦！一首《拍桌少女》送给大家！,33.3万,1725,350876,306895558,BV1Fz411i75r
44,【哲学】无♂限,22.1万,1078,339124,2192108,BV1WK4y1s7Ho
45,起飞诶飞,17.5万,274,335403,22872215,BV1iZ4y1H7M9
46,【曹操】曹操行,17.2万,531,334648,718877,BV1hV411r7TA
47,雪花飘飘最嗨版本,24.9万,939,324005,40966108,BV1yD4y1D76m
48,【对王之王】小伙阿强,28.3万,830,320497,301963634,BV1yC4y187Dt
49,油管上一个亿的特朗普的鬼畜，xswl。,24.3万,2339,305674,410471599,BV1s4411i7L1
50,【全明星】Walk Thru Fire,11.4万,2392,300308,93890857,BV1Da4y1Y7uM
51,【大司马】马 动 闪 霸,20.4万,350,296847,107079164,BV1mt4y197gZ
52,【罗翔】窃 曲(夜曲),16.0万,671,294756,5260378,BV1ez411e7Ny
53,【无情哈拉少rap】没 有 一 个 正 常 人,21.3万,195,293324,6054967,BV1SK411p75U
54,【仝卓·高考】盗将行,15.0万,397,289773,22146057,BV1Mt4y197EA
