排名,标题,播放量,讨论数,得分,封面链接,UP的ID,视频av号
1,【特效向】全明星の向死而生篇,47.6万,5403,1138247,22770727,BV16z411e7F4
2,最 强 法 海,24.9万,1404,435490,96070394,BV1pi4y147tQ
3,希望鬼畜区没事,17.3万,287,284147,14426615,BV1g54y1z7YH
4,神仙打架,14.4万,864,228689,97395295,BV1Ji4y1G7TV
5,【费玉污】《一剪梅》被删减版本！,13.4万,620,221540,375375,BV1Mz4y1X7Nj
6,执着的骚猪,9.1万,117,181172,38347595,BV17Z4y1H7NK
7,【杨超越】斗地主第一名,12.0万,527,178517,287485905,BV1BA411i75N
8,大家好，我是奥巴马，从今天开始，我也正式入驻B站了！,15.8万,222,169769,25606673,BV1ZV411r79W
9,【杨超越爆笑rap】干啥啥不行，rap第一名！（全程高能）,10.7万,805,145497,89338806,BV18T4y1J7dT
10,【对王之王】小伙阿强,11.8万,296,143370,301963634,BV1yC4y187Dt
11,【王雷卖鱼】暴躁王雷，在线说唱,9.6万,64,137731,39440834,BV1UZ4y1H7HR
12,【全明星】Walk Thru Fire,5.8万,1016,133850,93890857,BV1Da4y1Y7uM
13,雷霆嘎巴(情人节限定),11.7万,17,129572,105537627,BV1Wg4y1q7nE
14,【menhera酱】没时间解释了，有一个胡桃那样的可爱女友是什么体验！,4.7万,83,124866,9117212,BV17A411i7DS
15,【摆货小天才】女友爱你爱到死,9.6万,101,120289,548824,BV1Ma4y1e7m8
16,【大司马】马 动 闪 霸,7.5万,112,114801,107079164,BV1mt4y197gZ
17,王 雷 炸 鱼,6.8万,89,104784,5938236,BV1pi4y1x7s7
18,每天一遍，北大相见,4.8万,150,95093,7275647,BV1cp4y1Q7yn
19,每天一遍，遁入空门,6.7万,103,90838,7637632,BV1pe411W7eY
20,吸tiu蛙,6.7万,63,85100,121742565,BV1jj411f7ed
21,Windows X（ue）P（iao）冰雪节限定,4.9万,73,79350,1479680,BV11K411n7Mh
22,【特朗普】一想祖国我就 Wu~ 欲语泪先流,4.2万,299,70970,57676402,BV1zz411i7TW
23,【王雷】祖 安 卖 鱼,4.5万,47,70207,6249909,BV1Bf4y127bg
24,【派大星的独白】一个关于正常人的故事,3.6万,286,67101,30222764,BV1qt411j7fV
25,【罗翔】素 颜,2.9万,88,65283,16054375,BV1Vz411i7Bb
26,当茄子拿起AK47,4.5万,10,63134,31953347,BV1VV41167Vc
27,【杨超越Rap】干啥啥不行，背古诗第一名！,4.7万,121,63108,27710445,BV1KD4y1S7HB
28,“每天一遍，立马心动”,5.2万,446,62878,19071708,BV1iv411B7JE
29,杨 超 越 怒 斥 群 臣,4.8万,182,62144,12394995,BV1hC4y187r4
30,【仝卓·高考】盗将行,3.2万,65,61032,22146057,BV1Mt4y197EA
31,"雷宝——内置""林北""王雷语音的人工智能",2.7万,148,59623,54677961,BV14K411n7Yi
32,【曹操】曹操行,3.0万,74,57404,718877,BV1hV411r7TA
33,【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,3.9万,345,55818,353246678,BV1bW411n7fY
34,【洗脑循环】小学生真是太棒了！,3.0万,68,55162,8580108,BV1KK411H7KJ
35,淡黄色长裙该判什么罪？,3.9万,37,52311,8860148,BV1zV411o7tG
36,大家好，我是沈腾，今天我入驻b站了（狗头）,4.9万,24,51538,281149281,BV175411Y7xA
37,卢本伟玩极限运动被爆蛋合集！,3.1万,827,51204,57739849,BV12C4y187L2
38,【罗翔rap】法外狂徒张三的独白(全程押韵),2.9万,43,49580,53236394,BV1H7411C71r
39,吉良吉影看上了藤原书记的手？——神奇联动系列,2.2万,71,47494,7518140,BV19t4y1X7jD
40,【杨超越】干啥啥不行，好汉歌第一名,3.6万,181,47216,1852530,BV1GZ4y1p7Be
41,祖安康熙 亡国宣言,2.7万,197,46923,71596354,BV1Za4y1Y7iM
42,建议改成：中 美 日 合 拍,2.6万,179,46611,57260532,BV167411C7yL
43,张三罪大滔天 弄得百姓怨声载道,2.8万,45,44583,7714,BV1Ca4y1t7mS
