排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,最 强 法 海,983.5万,3.9万,8957490,96070394,BV1pi4y147tQ
2,【川普】浮夸，是一个卧底最好的掩饰,344.5万,2.5万,4671537,57676402,BV1Mk4y1z7ey
3,每天一遍，北大相见,237.1万,5357,3419639,7275647,BV1cp4y1Q7yn
4,【川普】没人比我更懂China！,345.1万,1.4万,2851434,375375,BV1gf4y1277v
5,大家好我是周淑怡，今天正式入驻B站啦！一首《拍桌少女》送给大家！,585.0万,5.1万,2502265,306895558,BV1Fz411i75r
6,【杨超越爆笑rap】干啥啥不行，rap第一名！（全程高能）,269.3万,1.3万,2172867,89338806,BV18T4y1J7dT
7,每天一遍，遁入空门,307.3万,3544,2153956,7637632,BV1pe411W7eY
8,【特朗普】没有人比我更懂模仿！,194.9万,3933,2006253,515993,BV1zQ4y1A7qz
9,执着的骚猪,119.2万,1968,1863481,38347595,BV17Z4y1H7NK
10,【派大星的独白】一个关于正常人的故事,134.8万,1.2万,1794126,30222764,BV1qt411j7fV
11,【罗翔】亡 匪（王妃）,73.8万,4552,1744716,16054375,BV1Ff4y1178U
12,【曹操】曹操行,85.5万,4140,1708925,718877,BV1hV411r7TA
13,建议改成：致 命 节 奏,188.8万,2794,1685005,8544715,BV1Uz4y1977R
14,【华农兄弟】青花瓷(请华吃),91.1万,6644,1673521,25422790,BV1dK4y1t7jf
15,ZBC大战奥利给之无情哈拉少,158.3万,2923,1668874,1706344,BV1SQ4y1N7zr
16,【特朗普】loser 一个卧底的独白,77.3万,4221,1471596,253184843,BV1oT4y1E7hP
17,神仙打架,139.6万,8962,1429413,97395295,BV1Ji4y1G7TV
18,王 雷 炸 鱼,138.9万,2030,1366220,5938236,BV1pi4y1x7s7
19,【明日方舟】黄铁行动的高光干员们,59.7万,1196,1339846,6126869,BV1Sz4y197PX
20,战  茄 （完整版）,69.3万,1.0万,1339577,241082633,BV1ht4y1176K
21,地 摊 阵 线 联 盟,162.4万,1987,1334349,40966108,BV1Yt4y1y7T6
22,【全明星】布拉格广场,91.8万,2915,1327828,250648682,BV1ba4y1v7LF
23,【仝卓·高考】盗将行,108.0万,3085,1280513,22146057,BV1Mt4y197EA
24,爆笑虫子2,95.5万,3178,1277770,11997177,BV1tg4y1i79v
25,如果不是真的喜欢，谁愿意当舔狗？,165.8万,3348,1266280,159122,BV1Nv411671u
26,【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,144.1万,1.3万,1252709,353246678,BV1bW411n7fY
